date,year,month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2025-03-01,2025,3,1,Category E,202,200,403,112901
2025-03-01,2025,3,2,Category A,1138,"1,137","1,951",94502
2025-03-01,2025,3,2,Category B,747,747,"1,196",116890
2025-03-01,2025,3,2,Category C,277,275,469,70089
2025-03-01,2025,3,2,Category D,525,525,626,9511
2025-03-01,2025,3,2,Category E,198,196,382,116991
2025-04-01,2025,4,1,Category A,1138,"1,122","2,162",97724
2025-04-01,2025,4,1,Category B,760,729,"1,200",117899
2025-04-01,2025,4,1,Category C,267,267,382,68782
2025-04-01,2025,4,1,Category D,517,515,603,9889
2025-04-01,2025,4,1,Category E,200,195,390,117002
2025-04-01,2025,4,2,Category A,1139,"1,124","2,121",99500
2025-04-01,2025,4,2,Category B,744,744,"1,098",117003
2025-04-01,2025,4,2,Category C,260,260,399,65001
2025-04-01,2025,4,2,Category D,519,518,660,9309
2025-04-01,2025,4,2,Category E,200,195,406,118001
2025-05-01,2025,5,1,Category A,1267,"1,244","2,240",103009
2025-05-01,2025,5,1,Category B,813,800,"1,210",119890
2025-05-01,2025,5,1,Category C,271,266,386,62590
2025-05-01,2025,5,1,Category D,536,532,676,8709
2025-05-01,2025,5,1,Category E,207,206,384,118889
2025-05-01,2025,5,2,Category A,1267,"1,265","1,915",102501
2025-05-01,2025,5,2,Category B,782,779,"1,093",116988
2025-05-01,2025,5,2,Category C,271,271,382,63189
2025-05-01,2025,5,2,Category D,534,532,655,8707
2025-05-01,2025,5,2,Category E,206,185,387,118010
2025-06-01,2025,6,1,Category A,1275,"1,274","1,691",96999
2025-06-01,2025,6,1,Category B,795,795,974,113000
2025-06-01,2025,6,1,Category C,276,256,386,62000
2025-06-01,2025,6,1,Category D,538,538,631,9000
2025-06-01,2025,6,1,Category E,202,191,363,113900
2025-06-01,2025,6,2,Category A,1254,"1,253","1,647",98124
2025-06-01,2025,6,2,Category B,784,781,"1,163",116670
2025-06-01,2025,6,2,Category C,271,270,393,65000
2025-06-01,2025,6,2,Category D,535,528,605,8600
2025-06-01,2025,6,2,Category E,223,214,399,116889
2025-07-01,2025,7,1,Category A,1253,"1,250","1,918",101102
2025-07-01,2025,7,1,Category B,781,781,"1,199",119600
2025-07-01,2025,7,1,Category C,291,275,432,66689
2025-07-01,2025,7,1,Category D,533,533,629,9389
2025-07-01,2025,7,1,Category E,212,207,384,118500
2025-07-01,2025,7,2,Category A,1253,"1,253","1,874",101102
2025-07-01,2025,7,2,Category B,784,782,"1,148",119101
2025-07-01,2025,7,2,Category C,271,271,405,68600
2025-07-01,2025,7,2,Category D,540,534,622,9511
2025-07-01,2025,7,2,Category E,211,210,431,120000
2025-08-01,2025,8,1,Category A,1268,"1,257","1,755",102009
2025-08-01,2025,8,1,Category B,789,789,"1,271",123498
2025-08-01,2025,8,1,Category C,290,281,422,70001
2025-08-01,2025,8,1,Category D,533,526,633,9189
2025-08-01,2025,8,1,Category E,261,261,511,122334
2025-08-01,2025,8,2,Category A,1264,"1,257","1,922",104524
2025-08-01,2025,8,2,Category B,792,789,"1,221",124400
2025-08-01,2025,8,2,Category C,273,271,472,72190
2025-08-01,2025,8,2,Category D,540,535,654,8809
2025-08-01,2025,8,2,Category E,257,257,491,125001
2025-09-01,2025,9,1,Category A,1275,"1,271","1,844",107889
2025-09-01,2025,9,1,Category B,790,750,"1,186",127501
2025-09-01,2025,9,1,Category C,283,282,401,71556
2025-09-01,2025,9,1,Category D,540,540,633,9101
2025-09-01,2025,9,1,Category E,256,254,489,127901
2025-09-01,2025,9,2,Category A,1272,"1,266","2,521",119003
2025-09-01,2025,9,2,Category B,792,772,"1,273",136890
2025-09-01,2025,9,2,Category C,276,274,413,72501
2025-09-01,2025,9,2,Category D,539,539,617,9209
2025-09-01,2025,9,2,Category E,256,252,540,140502
2025-10-01,2025,10,1,Category A,1268,"1,239","2,572",128105
2025-10-01,2025,10,1,Category B,830,828,"1,202",141000
2025-10-01,2025,10,1,Category C,274,273,424,74301
2025-10-01,2025,10,1,Category D,533,528,630,9810
2025-10-01,2025,10,1,Category E,259,251,472,140009
2025-10-01,2025,10,2,Category A,1270,"1,262","1,968",122000
2025-10-01,2025,10,2,Category B,809,800,977,131889
2025-10-01,2025,10,2,Category C,276,276,427,76801
2025-10-01,2025,10,2,Category D,533,528,598,9389
2025-10-01,2025,10,2,Category E,261,260,414,136000
2025-11-01,2025,11,1,Category A,1306,"1,303","1,682",110002
2025-11-01,2025,11,1,Category B,800,795,953,115001
2025-11-01,2025,11,1,Category C,283,279,434,76000
2025-11-01,2025,11,1,Category D,538,537,631,8600
2025-11-01,2025,11,1,Category E,282,266,467,121010
2025-11-01,2025,11,2,Category A,1285,"1,279","1,587",109000
2025-11-01,2025,11,2,Category B,806,765,"1,514",129890
2025-11-01,2025,11,2,Category C,282,278,406,76389
2025-11-01,2025,11,2,Category D,538,535,595,8729
2025-11-01,2025,11,2,Category E,276,275,466,125001
2025-12-01,2025,12,1,Category A,1280,"1,272","1,557",105413
2025-12-01,2025,12,1,Category B,802,775,"1,096",123900
2025-12-01,2025,12,1,Category C,286,281,370,76501
2025-12-01,2025,12,1,Category D,534,523,627,8289
2025-12-01,2025,12,1,Category E,291,288,544,123000
2025-12-01,2025,12,2,Category A,1283,"1,259","1,647",109501
2025-12-01,2025,12,2,Category B,838,832,968,115102
2025-12-01,2025,12,2,Category C,286,285,407,77003
2025-12-01,2025,12,2,Category D,536,532,632,8081
2025-12-01,2025,12,2,Category E,276,252,455,119000
2026-01-01,2026,1,1,Category A,1285,"1,284","1,658",102009
2026-01-01,2026,1,1,Category B,824,821,"1,128",119100
2026-01-01,2026,1,1,Category C,287,286,394,75503
2026-01-01,2026,1,1,Category D,544,527,639,8689
2026-01-01,2026,1,1,Category E,278,247,528,122000
2026-01-01,2026,1,2,Category A,1301,"1,277","2,303",109501
2026-01-01,2026,1,2,Category B,803,800,"1,207",121634
2026-01-01,2026,1,2,Category C,283,280,434,75202
2026-01-01,2026,1,2,Category D,538,523,609,8860
2026-01-01,2026,1,2,Category E,299,299,426,120891
