date,year,month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2021-12-01,2021,12,2,Category A,534,534,740,58801
2021-12-01,2021,12,2,Category B,595,590,829,80989
2021-12-01,2021,12,2,Category C,90,89,150,44000
2021-12-01,2021,12,2,Category D,426,422,562,9601
2021-12-01,2021,12,2,Category E,177,177,241,83889
2022-01-01,2022,1,1,Category A,543,533,760,57599
2022-01-01,2022,1,1,Category B,587,586,712,77700
2022-01-01,2022,1,1,Category C,90,87,198,42200
2022-01-01,2022,1,1,Category D,431,429,573,9689
2022-01-01,2022,1,1,Category E,149,149,193,82501
2022-01-01,2022,1,2,Category A,531,526,711,57898
2022-01-01,2022,1,2,Category B,592,583,907,82001
2022-01-01,2022,1,2,Category C,91,91,149,43001
2022-01-01,2022,1,2,Category D,416,401,520,10000
2022-01-01,2022,1,2,Category E,145,145,226,83911
2022-02-01,2022,2,1,Category A,542,542,819,60761
2022-02-01,2022,2,1,Category B,550,549,865,86102
2022-02-01,2022,2,1,Category C,80,80,149,44001
2022-02-01,2022,2,1,Category D,406,405,555,10010
2022-02-01,2022,2,1,Category E,180,171,269,87000
2022-02-01,2022,2,2,Category A,536,524,876,63000
2022-02-01,2022,2,2,Category B,559,554,939,93590
2022-02-01,2022,2,2,Category C,76,61,194,46501
2022-02-01,2022,2,2,Category D,420,416,521,10589
2022-02-01,2022,2,2,Category E,180,180,300,93102
2022-03-01,2022,3,1,Category A,531,526,962,68501
2022-03-01,2022,3,1,Category B,551,551,860,94889
2022-03-01,2022,3,1,Category C,76,67,199,48889
2022-03-01,2022,3,1,Category D,405,403,602,11400
2022-03-01,2022,3,1,Category E,190,190,318,98890
2022-03-01,2022,3,2,Category A,543,542,849,71556
2022-03-01,2022,3,2,Category B,555,545,824,98889
2022-03-01,2022,3,2,Category C,91,91,166,51504
2022-03-01,2022,3,2,Category D,409,409,575,10501
2022-03-01,2022,3,2,Category E,180,177,344,99010
2022-04-01,2022,4,1,Category A,536,536,723,72996
2022-04-01,2022,4,1,Category B,550,550,708,98389
2022-04-01,2022,4,1,Category C,85,84,210,54901
2022-04-01,2022,4,1,Category D,407,405,561,10503
2022-04-01,2022,4,1,Category E,180,174,290,99999
2022-04-01,2022,4,2,Category A,532,519,744,68699
2022-04-01,2022,4,2,Category B,560,559,687,90002
2022-04-01,2022,4,2,Category C,76,76,181,52002
2022-04-01,2022,4,2,Category D,404,355,539,9801
2022-04-01,2022,4,2,Category E,184,182,295,95801
2022-05-01,2022,5,1,Category A,612,612,804,70901
2022-05-01,2022,5,1,Category B,527,526,699,92090
2022-05-01,2022,5,1,Category C,104,100,184,50890
2022-05-01,2022,5,1,Category D,563,560,773,9489
2022-05-01,2022,5,1,Category E,195,195,283,91112
2022-05-01,2022,5,2,Category A,625,623,819,68001
2022-05-01,2022,5,2,Category B,528,523,709,95889
2022-05-01,2022,5,2,Category C,103,103,220,51501
2022-05-01,2022,5,2,Category D,609,600,899,9490
2022-05-01,2022,5,2,Category E,191,187,309,95901
2022-06-01,2022,6,1,Category A,612,607,874,73801
2022-06-01,2022,6,1,Category B,528,528,851,100684
2022-06-01,2022,6,1,Category C,107,107,203,53002
2022-06-01,2022,6,1,Category D,563,542,859,10000
2022-06-01,2022,6,1,Category E,190,185,316,100697
2022-06-01,2022,6,2,Category A,614,598,850,74989
2022-06-01,2022,6,2,Category B,531,531,822,106001
2022-06-01,2022,6,2,Category C,103,103,224,53011
2022-06-01,2022,6,2,Category D,570,570,717,10302
2022-06-01,2022,6,2,Category E,194,190,276,104400
2022-07-01,2022,7,1,Category A,617,606,900,78001
2022-07-01,2022,7,1,Category B,527,522,695,107800
2022-07-01,2022,7,1,Category C,102,91,160,54001
2022-07-01,2022,7,1,Category D,582,513,768,10889
2022-07-01,2022,7,1,Category E,195,191,340,110524
2022-07-01,2022,7,2,Category A,628,620,834,78899
2022-07-01,2022,7,2,Category B,527,526,702,110003
2022-07-01,2022,7,2,Category C,102,98,174,54889
2022-07-01,2022,7,2,Category D,561,555,723,10910
2022-07-01,2022,7,2,Category E,194,194,317,114001
2022-08-01,2022,8,1,Category A,554,541,689,80000
2022-08-01,2022,8,1,Category B,474,474,612,107001
2022-08-01,2022,8,1,Category C,95,93,168,56089
2022-08-01,2022,8,1,Category D,573,562,696,11000
2022-08-01,2022,8,1,Category E,167,165,293,113000
2022-08-01,2022,8,2,Category A,551,551,835,87889
2022-08-01,2022,8,2,Category B,471,470,665,112001
2022-08-01,2022,8,2,Category C,87,87,196,59090
2022-08-01,2022,8,2,Category D,510,502,673,11101
2022-08-01,2022,8,2,Category E,163,151,273,112001
2022-09-01,2022,9,1,Category A,556,535,723,86000
2022-09-01,2022,9,1,Category B,470,466,627,113000
2022-09-01,2022,9,1,Category C,85,84,179,64989
2022-09-01,2022,9,1,Category D,515,514,588,11301
